city,area,lat,lon
Ahmedabad,Satellite,23.0300,72.5100
Ahmedabad,Bopal,23.0345,72.4712
Ahmedabad,Maninagar,22.9990,72.6090
Ahmedabad,Vastrapur,23.0467,72.5273
Ahmedabad,Navrangpura,23.0389,72.5611
Ahmedabad,SG Highway,23.0489,72.5074
Ahmedabad,Gota,23.1108,72.5342
Ahmedabad,Chandkheda,23.1101,72.5810
Ahmedabad,Prahlad Nagar,23.0187,72.5065
Ahmedabad,Thaltej,23.0547,72.4968
Ahmedabad,Ambawadi,23.0289,72.5643
Ahmedabad,Paldi,23.0057,72.5737
Ahmedabad,Ellis Bridge,23.0249,72.5726
Ahmedabad,Shahibaug,23.0609,72.5967
Ahmedabad,Nikol,23.0412,72.6421
Ahmedabad,Asarwa,23.0534,72.6089
Vadodara,Alkapuri,22.3119,73.1723
Vadodara,Fatehgunj,22.3217,73.1851
Vadodara,Manjalpur,22.2678,73.1759
Vadodara,Gotri,22.3363,73.1612
Vadodara,Waghodia Road,22.2895,73.2105
Vadodara,Karelibaug,22.3044,73.2012
Vadodara,Atladra,22.2803,73.1502
Vadodara,Sama,22.3089,73.2189
Vadodara,Sayajigunj,22.3088,73.1924
Vadodara,Raopura,22.3177,73.2050
Vadodara,Race Course,22.3000,73.1800
Vadodara,Akota,22.2989,73.1654
Vadodara,Vasna,22.2756,73.1821
Vadodara,Gorwa,22.3378,73.1445
Vadodara,Harni,22.3251,73.2301
Surat,Adajan,21.1938,72.7937
Surat,Vesu,21.1562,72.7916
Surat,Citylight,21.1667,72.8000
Surat,Katargam,21.2333,72.8333
Surat,Udhna,21.1756,72.8422
Surat,Piplod,21.1789,72.7712
Surat,Bhatar,21.1612,72.8234
Surat,Varachha,21.2089,72.8612
Surat,Althan,21.1489,72.7689
Surat,Athwa,21.1817,72.8286
Surat,Pal,21.1423,72.7834
Surat,Dumas,21.0934,72.7123
Surat,Sachin,21.0834,72.8634
Surat,Kamrej,21.2512,73.0234
Surat,Nanpura,21.1956,72.8312
Rajkot,Kalawad Road,22.3039,70.8022
Rajkot,150 Feet Ring Road,22.3101,70.7889
Rajkot,University Road,22.2912,70.7612
Rajkot,Yagnik Road,22.2845,70.7789
Rajkot,Gondal Road,22.2600,70.7512
Rajkot,Bhavnath Road,22.3156,70.8134
Rajkot,Mavdi,22.2756,70.7934
Rajkot,Raiya Road,22.3212,70.7678
Rajkot,Aji Dam Road,22.2934,70.8312
Rajkot,Kothariya,22.2512,70.7823
Gandhinagar,Sector 1,23.2156,72.6369
Gandhinagar,Sector 5,23.2234,72.6512
Gandhinagar,Sector 7,23.2189,72.6445
Gandhinagar,Sector 11,23.2089,72.6678
Gandhinagar,Sector 16,23.2012,72.6812
Gandhinagar,Sector 21,23.1934,72.6956
Gandhinagar,Sector 28,23.1856,72.7089
Gandhinagar,Infocity,23.1789,72.6234
Gandhinagar,Kudasan,23.1623,72.6512
Gandhinagar,Sargasan,23.1534,72.6689
Bhavnagar,Ghogha Circle,21.7645,72.1519
Bhavnagar,Kumbharwada,21.7534,72.1423
Bhavnagar,Waghawadi Road,21.7712,72.1634
Bhavnagar,Kalanala,21.7423,72.1312
Bhavnagar,Crescent Circle,21.7589,72.1456
Bhavnagar,Ganga Nagar,21.7678,72.1578
Jamnagar,Bedi Gate,22.4707,70.0577
Jamnagar,Digvijay Plot,22.4623,70.0489
Jamnagar,Shivaji Nagar,22.4534,70.0612
Jamnagar,Indira Marg,22.4812,70.0423
Jamnagar,Ranjit Sagar,22.4689,70.0712
Jamnagar,Lal Bungalow,22.4578,70.0534
Anand,Anand Town,22.5645,72.9289
Anand,Vallabh Vidyanagar,22.5423,72.9134
Anand,Karamsad,22.5534,72.9412
Anand,Anklav,22.5234,72.9623
Anand,Borsad,22.4089,72.8934
Anand,Petlad,22.4734,72.8123
Nadiad,Nadiad Town,22.6912,72.8634
Nadiad,Mahudha,22.8123,72.9312
Nadiad,Kheda,22.7512,72.6823
Nadiad,Kapadvanj,23.0134,73.0712
Mehsana,Mehsana Town,23.5880,72.3693
Mehsana,Unjha,23.8034,72.3912
Mehsana,Visnagar,23.6989,72.5512
Mehsana,Kheralu,23.8823,72.6234
